system,domain,task,test_id,scientific_accuracy,functional_equivalence,reasoning_quality,completeness,interpretability,overall
Baseline LLM,in-domain,forward,in-domain_0,0.3944525877634684,0.413269966840744,0.624,0.6833333333333333,0.8489999999999999,0.5928111775875091
Baseline LLM,in-domain,forward,in-domain_1,0.3983892798423767,0.4827275276184082,0.896,0.6499999999999999,0.9209999999999998,0.669623361492157
Baseline LLM,in-domain,forward,in-domain_2,0.14598708152770998,0.3649677038192749,0.536,0.5833333333333333,0.8609999999999999,0.4982576237360636
Baseline LLM,in-domain,forward,in-domain_3,0.28676865895589193,0.3835883140563965,0.7,0.5833333333333333,0.9249999999999998,0.5757380612691243
Baseline LLM,in-domain,forward,in-domain_4,0.25305255651474,0.2080325037240982,0.6,0.7166666666666666,0.9249999999999998,0.5405503453811009
Baseline LLM,in-domain,forward,in-domain_5,0.37262986898422246,0.3670169413089752,0.516,0.7166666666666666,0.8409999999999999,0.5626626953919728
Baseline LLM,in-domain,forward,in-domain_6,0.3937028646469116,0.46128183603286743,0.646,0.8,0.8709999999999999,0.6343969401359557
Baseline LLM,in-domain,forward,in-domain_7,0.5852132081985474,0.4696677029132843,0.692,0.7666666666666666,0.9169999999999998,0.6861095155556995
Baseline LLM,in-domain,forward,in-domain_8,0.4073214530944824,0.49692997336387634,0.9,0.7833333333333332,0.9249999999999998,0.7025169519583383
Baseline LLM,in-domain,forward,in-domain_9,0.34453799486160286,0.4512348771095276,0.78,0.8,0.9049999999999999,0.6561545743942261
Naive KG+LLM,in-domain,forward,in-domain_0,0.30583667357762656,0.3159981369972229,0.0,0.75,0.35,0.34436696211496987
Naive KG+LLM,in-domain,forward,in-domain_1,0.2660616755485535,0.363141268491745,0.0,0.75,0.35,0.3458405888080597
Naive KG+LLM,in-domain,forward,in-domain_2,0.35824854373931886,0.3890216648578644,0.0,0.7,0.35,0.3594540417194366
Naive KG+LLM,in-domain,forward,in-domain_3,0.1630239486694336,0.28882649540901184,0.0,0.7249999999999999,0.35,0.30537008881568906
Naive KG+LLM,in-domain,forward,in-domain_4,0.2828131914138794,0.27386748790740967,0.0,0.675,0.35,0.3163361358642578
Naive KG+LLM,in-domain,forward,in-domain_5,0.37281830310821534,0.4109576344490051,0.0,0.75,0.35,0.37675518751144405
Naive KG+LLM,in-domain,forward,in-domain_6,0.36690851449966433,0.4143332540988922,0.0,0.5909090909090908,0.35,0.34443017190152947
Naive KG+LLM,in-domain,forward,in-domain_7,0.5859028339385987,0.3322215676307678,0.0,0.75,0.35,0.4036248803138733
Naive KG+LLM,in-domain,forward,in-domain_8,0.4058716773986817,0.44176992774009705,0.0,0.75,0.35,0.3895283210277557
Naive KG+LLM,in-domain,forward,in-domain_9,0.43473389387130734,0.5322588086128235,0.0,0.7,0.35,0.4033985404968262
Online KG+LLM,in-domain,forward,in-domain_0,0.5652308225631715,0.4697970449924469,0.46399999999999997,0.7785714285714285,0.8389999999999999,0.6233198592254093
Online KG+LLM,in-domain,forward,in-domain_1,0.5948107123374939,0.41392388939857483,0.5269999999999999,0.7785714285714285,0.8269999999999998,0.6282612060614994
Online KG+LLM,in-domain,forward,in-domain_2,0.6905289173126221,0.5924040675163269,0.32499999999999996,0.7571428571428571,0.7749999999999999,0.6280151683943612
