system,domain,task,scientific_accuracy,functional_equivalence,reasoning_quality,completeness,interpretability,overall
ARIA,in-domain,forward,0.57,0.42,0.33,0.93,0.92,0.64
ARIA,in-domain,inverse,0.4,0.29,0.24,0.8,0.92,0.53
ARIA,out-of-domain,forward,0.41,0.41,0.31,0.93,0.92,0.6
ARIA,out-of-domain,inverse,0.27,0.26,0.27,0.8,0.92,0.51
Baseline LLM,in-domain,forward,0.36,0.41,0.69,0.71,0.89,0.61
Baseline LLM,in-domain,inverse,0.12,0.26,0.29,0.76,0.69,0.42
Baseline LLM,out-of-domain,forward,0.39,0.43,0.6,0.65,0.89,0.59
Baseline LLM,out-of-domain,inverse,0.26,0.33,0.32,0.73,0.82,0.49
Naive KG+LLM,in-domain,forward,0.35,0.38,0.0,0.71,0.35,0.36
Naive KG+LLM,in-domain,inverse,0.31,0.22,0.0,0.77,0.35,0.33
Naive KG+LLM,out-of-domain,forward,0.37,0.36,0.0,0.71,0.35,0.36
Naive KG+LLM,out-of-domain,inverse,0.26,0.23,0.0,0.77,0.35,0.32
Online KG+LLM,in-domain,forward,0.63,0.5,0.42,0.78,0.82,0.63
Online KG+LLM,in-domain,inverse,0.36,0.21,0.31,0.8,0.81,0.5
Online KG+LLM,out-of-domain,forward,0.42,0.46,0.18,0.79,0.77,0.52
Online KG+LLM,out-of-domain,inverse,0.24,0.21,0.15,0.79,0.78,0.43
